filename,verdict,mismatch_rows,categories,croma_measures,ref_measures,measure_delta
tune_004352.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,17,17,0
tune_005018.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,25,25,0
tune_005077.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,18,18,0
tune_005233.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,104,104,0
tune_005254.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,25,25,0
tune_005481.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,18,18,0
tune_005585.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,17,17,0
tune_005734.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,33,33,0
tune_005942.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_007450.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,64,64,0
tune_007710.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,9,9,0
tune_007764.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,17,17,0
tune_007906.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,25,25,0
tune_007996.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,18,18,0
tune_008010.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,18,18,0
tune_008351.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,46,46,0
tune_008358.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,26,26,0
tune_008363.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,26,26,0
tune_008414.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,17,17,0
tune_008568.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,16,16,0
tune_009342.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,26,26,0
tune_009751.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,18,18,0
tune_009763.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,18,18,0
tune_009915.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_009918.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_009921.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_009925.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_009927.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,13,13,0
tune_009928.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_009929.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_009931.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_009932.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_009936.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_009943.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,13,13,0
tune_009948.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,12,12,0
tune_010095.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,19,19,0
tune_010097.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,20,20,0
